t_ns,parent,child,tx,ty,tz,yaw
1771970259762743088,robot1/odom,robot1/base_link,-0.25915889250619895,0.012271719521566998,0.0,-0.0946493529137431
1771970259911077874,robot1/odom,robot1/base_link,-0.25913267029350084,0.012269230155891764,0.0,-0.09465027083652794
1771970260017114629,robot1/base_link,robot1/base_footprint,0.0,0.0,0.0,0.0
1771970260017114629,robot1/chassis,robot1/camera_link,0.305,0.0,0.08,0.0
1771970260017114629,robot1/camera_link,robot1/camera_link_optical,0.0,0.0,0.0,-1.5707963267948963
1771970260017114629,robot1/chassis,robot1/caster_wheel,0.24,0.0,0.0,0.0
1771970260017114629,robot1/base_link,robot1/chassis,-0.1,0.0,0.0,0.0
1771970260017114629,robot1/chassis,robot1/imu_link,0.15,0.0,0.075,0.0
1771970260017114629,robot1/chassis,robot1/laser_frame,0.1,0.0,0.175,0.0
1771970260053355975,robot1/odom,robot1/base_link,-0.25916468666883935,0.012272269621775382,0.0,-0.0946518438487811
1771970260287224960,robot1/odom,robot1/base_link,-0.2591384644379592,0.012269780188597118,0.0,-0.09465275197430499
1771970260389589039,robot1/odom,robot1/base_link,-0.2591704806016107,0.012272819714383782,0.0,-0.09465431565185234
1771970260447855693,robot1/odom,robot1/base_link,-0.25914425865756596,0.012270330243162207,0.0,-0.0946552143015743
1771970260501908545,robot1/odom,robot1/base_link,-0.2591762747447195,0.012273369841087204,0.0,-0.0946567689648372
1771970260553131794,robot1/odom,robot1/base_link,-0.25915005292515,0.012270880316894219,0.0,-0.09465765844694182
1771970260619764735,robot1/odom,robot1/base_link,-0.2591820688749529,0.012273919980594543,0.0,-0.09465920437465837
1771970260681724278,robot1/odom,robot1/base_link,-0.25915584723787455,0.012271430409408781,0.0,-0.09466008498153532
1771970260743285836,robot1/odom,robot1/base_link,-0.25918786308145414,0.012274470141275765,0.0,-0.0946616224514536
1771970260792968555,robot1/odom,robot1/base_link,-0.2591616415825034,0.012271980519340859,0.0,-0.09466249446197507
1771970260834356300,robot1/odom,robot1/base_link,-0.2591936573078171,0.012275020317681401,0.0,-0.0946640237327975
1771970260874936674,map,map_ned,0.0,0.0,0.0,1.5707963267948963
1771970260874936674,odom,odom_ned,0.0,0.0,0.0,1.5707963267948963
1771970260874936674,base_link,base_link_frd,0.0,0.0,0.0,0.0
1771970260889484783,robot1/odom,robot1/base_link,-0.25916743595162584,0.012272530645878642,0.0,-0.09466488741225405
1771970260943082939,robot1/odom,robot1/base_link,-0.2591994515668635,0.012275570510942857,0.0,-0.09466640873304608
1771970261023919578,robot1/odom,robot1/base_link,-0.2591732303359776,0.012273080788043051,0.0,-0.09466726433418401
1771970261231912789,robot1/odom,robot1/base_link,-0.25920524583980653,0.012276120719189078,0.0,-0.0946687779408947
1771970261317108340,robot1/odom,robot1/base_link,-0.2591790247279846,0.012273630945014796,0.0,-0.09466962570436652
1771970261363838830,robot1/odom,robot1/base_link,-0.2592110401235037,0.012276670942037037,0.0,-0.09467113182231836
1771970261433862054,robot1/odom,robot1/base_link,-0.25918481912004276,0.012274181115974982,0.0,-0.09467197197734416
1771970261487388921,robot1/odom,robot1/base_link,-0.2592168344082299,0.012277221178484224,0.0,-0.09467347082088828
1771970261659446310,robot1/odom,robot1/base_link,-0.25919061350527417,0.012274731300179784,0.0,-0.09467430358578431
1771970261745071035,robot1/odom,robot1/base_link,-0.25922262868805596,0.012277771427884724,0.0,-0.0946757953592485
1771970261806243226,robot1/odom,robot1/base_link,-0.2591964078771234,0.01227528149691272,0.0,-0.0946766209420009
1771970261868609324,robot1/odom,robot1/base_link,-0.2592284229559319,0.012278321689490312,0.0,-0.09467810584000091
1771970261939282560,robot1/odom,robot1/base_link,-0.2592022022295035,0.012275831705506425,0.0,-0.09467892443873964
1771970262019013147,robot1/odom,robot1/base_link,-0.2592342172059511,0.012278871962668648,0.0,-0.0946804026467534
1771970262128146279,robot1/odom,robot1/base_link,-0.2592079965566871,0.012276381925335502,0.0,-0.09468121445026663
1771970262180047780,robot1/odom,robot1/base_link,-0.25924001143224557,0.012279422246788312,0.0,-0.09468268614500461
1771970262244621315,robot1/odom,robot1/base_link,-0.2592137908533172,0.012276932155807456,0.0,-0.09468349133318565
1771970262302169389,robot1/odom,robot1/base_link,-0.25924580562946875,0.012279972541268684,0.0,-0.0946849566830904
1771970262394185378,robot1/odom,robot1/base_link,-0.2592195851143685,0.012277482396363022,0.0,-0.09468575542739206
1771970262466903827,robot1/odom,robot1/base_link,-0.25017349461502986,0.011402190960406677,0.0,-0.09823185737679906
1771970262618065809,robot1/odom,robot1/base_link,-0.23659266370960824,0.010042576433306648,0.0,-0.10132874128985438
1771970262810085481,robot1/odom,robot1/base_link,-0.22160138504758675,0.008502155385309393,0.0,-0.1034614794955362
1771970262892117805,robot1/odom,robot1/base_link,-0.2063453733198793,0.006904927968127425,0.0,-0.10516837384173812
1771970262967311093,robot1/odom,robot1/base_link,-0.1904935458667908,0.005220223032284065,0.0,-0.10659328312672839
1771970263014939324,robot1/odom,robot1/base_link,-0.17131172372765735,0.0031664928714450254,0.0,-0.10672703871340443
1771970263072689630,robot1/odom,robot1/base_link,-0.1527335353777767,0.0011801415167322226,0.0,-0.10630060236877253
1771970263123692922,robot1/odom,robot1/base_link,-0.134525321595784,-0.0007601201298010785,0.0,-0.10601757793110708
1771970263197544031,robot1/odom,robot1/base_link,-0.11654795183969965,-0.0026719891879868687,0.0,-0.1058832546283424
1771970263286738162,robot1/odom,robot1/base_link,-0.09857934963289115,-0.004581136080070179,0.0,-0.10582059523824079
1771970263385150567,robot1/odom,robot1/base_link,-0.08069627043665714,-0.006480352471969455,0.0,-0.10578994329071603
1771970263473355293,robot1/odom,robot1/base_link,-0.0627657314614416,-0.008384159761954993,0.0,-0.10577102530643154
1771970263543171775,robot1/odom,robot1/base_link,-0.04489765954237838,-0.010281047515597622,0.0,-0.10575817878389338
1771970263608174748,robot1/odom,robot1/base_link,-0.026973075850565374,-0.012183711349907436,0.0,-0.105746392835679
1771970263686317010,robot1/odom,robot1/base_link,-0.009107318638971445,-0.014079934790466864,0.0,-0.10573647475900148
1771970263759344431,robot1/odom,robot1/base_link,0.008816316567883523,-0.015982115079246052,0.0,-0.10572585093429443
1771970263828543048,robot1/odom,robot1/base_link,0.026681716805448633,-0.01787793265643746,0.0,-0.10571628130823334
1771970264399054970,robot1/odom,robot1/base_link,0.04460525109933709,-0.01977973798683982,0.0,-0.10570585220969086
1771970264448941388,robot1/odom,robot1/base_link,0.06247062697501971,-0.021675192696108098,0.0,-0.10569639598737597
1771970264528327522,robot1/odom,robot1/base_link,0.08039417113917047,-0.02357663881018177,0.0,-0.10568598496756515
1771970264615683282,robot1/odom,robot1/base_link,0.09825957320920162,-0.02547173745199765,0.0,-0.10567653808382264
1771970264708203047,robot1/odom,robot1/base_link,0.11618315372480603,-0.027372827520873524,0.0,-0.10566613016322825
1771970264789193107,robot1/odom,robot1/base_link,0.1340485930428749,-0.029267571412480542,0.0,-0.10565668372999995
1771970264835914276,robot1/odom,robot1/base_link,0.15197220935996855,-0.031168305409698827,0.0,-0.10564627531822383
1771970264886170523,robot1/odom,robot1/base_link,0.1698376856037894,-0.033062694505352014,0.0,-0.10563682811231159
1771970264928578153,robot1/odom,robot1/base_link,0.1877613399472031,-0.03496307263913321,0.0,-0.10562641868262576
