t_ns,x,y,yaw,vx,wz
1771970259546758904,-0.25911528829208835,0.012267580188379095,-0.09464270816654656,-8.082025497931852e-05,-3.624909803782564e-05
1771970259548513561,-0.25914730438002304,0.01227061938314785,-0.09464431102068153,-8.074344032279267e-05,-3.607896408174032e-05
1771970259548558973,-0.2591210822486714,0.01226813015832285,-0.09464524957256362,-8.083145112938266e-05,-3.591611127510379e-05
1771970259549006889,-0.2591530990899228,0.012271169506542046,-0.09464684222665826,-8.086500739580068e-05,-3.5766878612116326e-05
1771970259578917270,-0.25912687620183034,0.012268680143045944,-0.09464777028920848,-8.082909868669271e-05,-3.561037396909713e-05
1771970259693688625,-0.25915889250619895,0.012271719521566998,-0.0946493529137431,-8.081089156607143e-05,-3.5459361463409104e-05
1771970259948015382,-0.25913267029350084,0.012269230155891764,-0.09465027083652794,-8.083275908019803e-05,-3.5308057937263956e-05
1771970260056614271,-0.25916468666883935,0.012272269621775382,-0.0946518438487811,-8.083886823061352e-05,-3.516552143944785e-05
1771970260293402381,-0.2591384644379592,0.012269780188597118,-0.09465275197430499,-8.083328790590812e-05,-3.5019561879753694e-05
1771970260424131422,-0.2591704806016107,0.012272819714383782,-0.09465431565185234,-8.082802050041486e-05,-3.4880321433420474e-05
1771970260450515361,-0.25914425865756596,0.012270330243162207,-0.0946552143015743,-8.08349979403765e-05,-3.473926396593801e-05
1771970260519590825,-0.2591762747447195,0.012273369841087204,-0.0946567689648372,-8.083510161739718e-05,-3.4605400432364606e-05
1771970260561300339,-0.25915005292515,0.012270880316894219,-0.09465765844694182,-8.08358852100324e-05,-3.4469095495010125e-05
1771970260626147499,-0.2591820688749529,0.012273919980594543,-0.09465920437465837,-8.083350287094277e-05,-3.4339300000275996e-05
1771970260691145892,-0.25915584723787455,0.012271430409408781,-0.09466008498153532,-8.083690782916401e-05,-3.42074786856098e-05
1771970260746181655,-0.25918786308145414,0.012274470141275765,-0.0946616224514536,-8.083572635545657e-05,-3.408204919584365e-05
1771970260805818701,-0.2591616415825034,0.012271980519340859,-0.09466249446197507,-8.083763283313291e-05,-3.395451513096543e-05
1771970260840619239,-0.2591936573078171,0.012275020317681401,-0.0946640237327975,-8.083592257723768e-05,-3.3833011156755634e-05
1771970260889449876,-0.25916743595162584,0.012272530645878642,-0.09466488741225405,-8.083827874015004e-05,-3.3709549858502594e-05
1771970260968526377,-0.2591994515668635,0.012275570510942857,-0.09466640873304608,-8.083685126553775e-05,-3.359189220482118e-05
1771970261047522865,-0.2591732303359776,0.012273080788043051,-0.09466726433418401,-8.083875731519901e-05,-3.347231280483641e-05
1771970261243358071,-0.25920524583980653,0.012276120719189078,-0.0946687779408947,-8.08372317141415e-05,-3.335826682648769e-05
1771970261323905016,-0.2591790247279846,0.012273630945014796,-0.09466962570436652,-8.08391232423564e-05,-3.324238173528226e-05
1771970261366501591,-0.2592110401235037,0.012276670942037037,-0.09467113182231836,-8.083767797653579e-05,-3.3131799055584915e-05
1771970261439570042,-0.25918481912004276,0.012274181115974982,-0.09467197197734416,-8.083936322219023e-05,-3.301943280237824e-05
1771970261502594754,-0.2592168344082299,0.012277221178484224,-0.09467347082088828,-8.083791418978382e-05,-3.2912137318593195e-05
1771970261666784481,-0.25919061350527417,0.012274731300179784,-0.09467430358578431,-8.08394950016551e-05,-3.280312169229045e-05
1771970261761443870,-0.25922262868805596,0.012277771427884724,-0.0946757953592485,-8.08380812001718e-05,-3.269896236386197e-05
1771970261824935062,-0.2591964078771234,0.01227528149691272,-0.0946766209420009,-8.083952097374127e-05,-3.25931381857077e-05
1771970261877896732,-0.2592284229559319,0.012278321689490312,-0.09467810584000091,-8.083812356574177e-05,-3.2491963763472685e-05
1771970261965597813,-0.2592022022295035,0.012275831705506425,-0.09467892443873964,-8.083945000423784e-05,-3.238917932113983e-05
1771970262029816825,-0.2592342172059511,0.012278871962668648,-0.0946804026467534,-8.083807722453157e-05,-3.229084960750047e-05
1771970262149884653,-0.2592079965566871,0.012276381925335502,-0.09468121445026663,-8.083928724970575e-05,-3.219096083366097e-05
1771970262186799204,-0.25924001143224557,0.012279422246788312,-0.09468268614500461,-8.083793457760335e-05,-3.209534079509852e-05
1771970262246260139,-0.2592137908533172,0.012276932155807456,-0.09468349133318565,-8.083903898479506e-05,-3.1998210670857056e-05
1771970262325950942,-0.25924580562946875,0.012279972541268684,-0.0946849566830904,-8.083770784300105e-05,-3.19051727837185e-05
1771970262411416436,-0.2592195851143685,0.012277482396363022,-0.09468575542739206,-8.083871038383589e-05,-3.1810671132696335e-05
1771970262480669811,-0.25017349461502986,0.011402190960406677,-0.09823185737679906,0.02525388909329354,-0.009877950048735654
1771970262627916557,-0.23659266370960824,0.010042576433306648,-0.10132874128985438,0.06309384825523925,-0.01847811207734103
1771970262814229248,-0.22160138504758675,0.008502155385309393,-0.1034614794955362,0.10504489101811457,-0.024398260154225325
1771970262906080215,-0.2063453733198793,0.006904927968127425,-0.10516837384173812,0.147581162843442,-0.02913735945272653
1771970262968590668,-0.1904935458667908,0.005220223032284065,-0.10659328312672839,0.1919513300784931,-0.03309133466654373
1771970263018576608,-0.17131172372765735,0.0031664928714450254,-0.10672703871340443,0.24546553308891644,-0.03346062295311116
1771970263081541666,-0.1527335353777767,0.0011801415167322226,-0.10630060236877253,0.29745507328415766,-0.032271989510419
1771970263124935354,-0.134525321595784,-0.0007601201298010785,-0.10601757793110708,0.3482466297476715,-0.0314835738830689
1771970263208394778,-0.11654795183969965,-0.0026719891879868687,-0.1058832546283424,0.39855469948146494,-0.03110638318120997
1771970263292592981,-0.09857934963289115,-0.004581136080070179,-0.10582059523824079,0.44867525949570475,-0.030930110585645643
1771970263401991048,-0.08069627043665714,-0.006480352471969455,-0.10578994329071603,0.4733844366551495,-0.020994683094184584
1771970263484503472,-0.0627657314614416,-0.008384159761954993,-0.10577102530643154,0.4855583303640663,-0.012339677823810182
1771970263556845021,-0.04489765954237838,-0.010281047515597622,-0.10575817878389338,0.4936090554532842,-0.006379720245430863
1771970263619058599,-0.026973075850565374,-0.012183711349907436,-0.105746392835679,0.5010698513887963,-0.0016056083165041305
1771970263692679483,-0.009107318638971445,-0.014079934790466864,-0.10573647475900148,0.506694863133281,0.0023800232436777488
1771970263768332782,0.008816316567883523,-0.015982115079246052,-0.10572585093429443,0.5031749663520046,0.002781077164190383
1771970263828509644,0.026681716805448633,-0.01787793265643746,-0.10571628130823334,0.5011794998378717,0.0016231140570511994
1771970264407565538,0.04460525109933709,-0.01977973798683982,-0.10570585220969086,0.5003818611261501,0.0008659047817108396
1771970264475382764,0.06247062697501971,-0.021675192696108098,-0.10569639598737597,0.500067691166283,0.0005190517804619881
1771970264545036834,0.08039417113917047,-0.02357663881018177,-0.10568598496756515,0.4999409710557988,0.00037391741854335924
1771970264629479865,0.09825957320920162,-0.02547173745199765,-0.10567653808382264,0.49989093493793213,0.00031501446359302634
1771970264728538444,0.11618315372480603,-0.027372827520873524,-0.10566613016322825,0.4998709172960682,0.00029137539778732464
1771970264791816513,0.1340485930428749,-0.029267571412480542,-0.10565668372999995,0.4998630169711505,0.0002819307052598581
1771970264846448804,0.15197220935996855,-0.031168305409698827,-0.10564627531822383,0.499859779238946,0.00027810421515325084
1771970264894367967,0.1698376856037894,-0.033062694505352014,-0.10563682811231159,0.49985846558936126,0.00027679624080523713
1771970264939586618,0.1877613399472031,-0.03496307263913321,-0.10562641868262576,0.49985799039446127,0.00027620069907959813
1771970264996402379,0.20562685401621053,-0.03685710699866702,-0.1056169703836401,0.49985778237197254,0.00027586367942554387
1771970265073722934,0.22355054562952023,-0.03875712914929217,-0.10560655978017779,0.49985769453628565,0.0002758123042029053
1771970265114429861,0.24141609715858112,-0.04065080869183044,-0.10559711021731172,0.4998576597414999,0.0002757938057343041
1771970265159108106,0.25933982631464586,-0.04255047483882837,-0.10558669787189869,0.49985764938515526,0.00027579748796265795
1771970265219366104,0.2772054149314067,-0.044443799444825044,-0.10557724423767768,0.49985764510947844,0.0002758162392915195
1771970265261292199,0.2951291922886834,-0.046343111185996655,-0.10556689344443865,0.49985766806431176,0.0002756575521932256
1771970265315297154,0.3129948105008686,-0.04823608074709437,-0.10555739662684631,0.4998576426623801,0.0002757975087599537
1771970265399988589,0.3309186249603888,-0.05013503555095563,-0.10554692113393574,0.49985766905566154,0.0002759838452445554
