x,y,theta,mean_error,initial_x,initial_y,initial_theta,mean_error_initial,odom_x,odom_y,odom_theta
-0.07080527617142873,-4.011597283358253,0.058793190334348086,0.15904492727495656,-0.2591152882920883,-3.987732419811621,-0.0946427081665465,0.28545318213553755,-0.2591152882920883,-3.987732419811621,-0.0946427081665465
-0.07079250650186086,-4.0115898143425515,0.058789451651961616,0.15904072447723397,-0.259147304380023,-3.987729380616852,-0.0946443110206815,0.2856003052816645,-0.259147304380023,-3.987729380616852,-0.0946443110206815
-0.07079250650186214,-4.0115898143425515,0.0587894516519615,0.15904072447723394,-0.2591210822486714,-3.987731869841677,-0.0946452495725636,0.28560036417572515,-0.2591210822486714,-3.987731869841677,-0.0946452495725636
-0.07079250650186164,-4.0115898143425515,0.058789451651961554,0.1590407244772341,-0.2591530990899228,-3.987728830493458,-0.09464684222665819,0.2856004747705271,-0.2591530990899228,-3.987728830493458,-0.09464684222665819
-0.07079250650185953,-4.0115898143425515,0.05878945165196149,0.15904072447723405,-0.2591268762018303,-3.987731319856954,-0.0946477702892084,0.28560053296808663,-0.2591268762018303,-3.987731319856954,-0.0946477702892084
-0.07079250650186142,-4.011589814342552,0.05878945165196159,0.1590407244772338,-0.2591588925061989,-3.987728280478433,-0.0946493529137431,0.2856006428996311,-0.2591588925061989,-3.987728280478433,-0.0946493529137431
-0.07080165910648328,-4.011591149440874,0.05878607847083649,0.15903834525800167,-0.2591326702935008,-3.9877307698441085,-0.0946502708365279,0.28560002361838227,-0.2591326702935008,-3.9877307698441085,-0.0946502708365279
-0.07080165910648306,-4.0115911494408705,0.058786078470836396,0.15903834525800203,-0.2591646866688393,-3.9877277303782246,-0.09465184384878111,0.28560013291306946,-0.2591646866688393,-3.9877277303782246,-0.09465184384878111
-0.07083276111630121,-4.011601128055415,0.05878305655803851,0.1590377760058478,-0.2591384644379592,-3.987730219811403,-0.0946527519743049,0.28560301010417505,-0.2591384644379592,-3.987730219811403,-0.0946527519743049
-0.07083276111630443,-4.011601128055414,0.05878305655803839,0.15903777600584776,-0.2591704806016107,-3.9877271802856162,-0.09465431565185228,0.2856031187673169,-0.2591704806016107,-3.9877271802856162,-0.09465431565185228
-0.07083276111630482,-4.011601128055419,0.05878305655803842,0.1590377760058477,-0.2591442586575659,-3.987729669756838,-0.0946552143015743,0.2856031749996203,-0.2591442586575659,-3.987729669756838,-0.0946552143015743
