x,y,theta,mean_error,initial_x,initial_y,initial_theta,mean_error_initial,odom_x,odom_y,odom_theta
-0.11967703341011926,-3.988703748092749,0.048658388063229495,0.12100208615906684,-0.23288002488164086,-3.963869408672473,-0.04395966264209824,0.24169293304568107,-0.2591152882920883,-3.987732419811621,-0.0946427081665465
-0.12002714625884109,-3.988739374544347,0.0486144119306014,0.1210003544193843,-0.2353692392473179,-3.9733218466968787,-0.04463719224539846,0.24238852457287016,-0.259147304380023,-3.987729380616852,-0.0946443110206815
-0.12002714625884042,-3.9887393745443482,0.04861441193060117,0.12100035441938485,-0.23536923924731815,-3.9733218466968765,-0.04463719224539879,0.24238852457287027,-0.2591210822486714,-3.987731869841677,-0.0946452495725636
-0.12002714625884031,-3.9887393745443465,0.048614411930601564,0.12100035441938545,-0.23536923924731784,-3.973321846696879,-0.044637192245398444,0.24238852457287022,-0.2591530990899228,-3.987728830493458,-0.09464684222665819
-0.12002714625884087,-3.9887393745443482,0.04861441193060118,0.12100035441938513,-0.23536923924731798,-3.9733218466968774,-0.044637192245398645,0.24238852457287022,-0.2591268762018303,-3.987731319856954,-0.0946477702892084
-0.12002714625884014,-3.9887393745443473,0.04861441193060098,0.12100035441938531,-0.23536923924731745,-3.9733218466968796,-0.044637192245398666,0.24238852457287022,-0.2591588925061989,-3.987728280478433,-0.0946493529137431
-0.12003603817229841,-3.9887441563678747,0.048613630194187935,0.12099881992801678,-0.23537819061832463,-3.973325618246404,-0.0446377493592383,0.2423871668178194,-0.2591326702935008,-3.9877307698441085,-0.0946502708365279
-0.12003603817229874,-3.988744156367874,0.048613630194188046,0.12099881992801724,-0.235378190618325,-3.973325618246401,-0.04463774935923823,0.24238716681781952,-0.2591646866688393,-3.9877277303782246,-0.09465184384878111
-0.12005812682057071,-3.988756039296519,0.04861180794733382,0.12099752424222361,-0.23540082538219614,-3.9733351766882783,-0.044639271135695366,0.24238926005402878,-0.2591384644379592,-3.987730219811403,-0.0946527519743049
-0.12005812682057027,-3.9887560392965202,0.04861180794733454,0.12099752424222336,-0.23540082538219642,-3.973335176688277,-0.0446392711356949,0.24238926005402817,-0.2591704806016107,-3.9877271802856162,-0.09465431565185228
-0.12005812682057176,-3.9887560392965193,0.048611807947334294,0.1209975242422226,-0.23540082538219606,-3.9733351766882783,-0.04463927113569478,0.24238926005402808,-0.2591442586575659,-3.987729669756838,-0.0946552143015743
-0.12006698947235772,-3.9887607431669925,0.04861103153000725,0.12099602201137098,-0.23540974017842548,-3.9733388732780144,-0.044639822816238094,0.24238794238717618,-0.2591762747447195,-3.987726630158913,-0.09465676896483721
-0.12006698947235828,-3.9887607431669916,0.048611031530007294,0.12099602201137118,-0.23540974017842614,-3.9733388732780117,-0.04463982281623821,0.24238794238717642,-0.25915005292515,-3.987729119683106,-0.0946576584469418
-0.12006698947235861,-3.9887607431669907,0.04861103153000802,0.12099602201137005,-0.2354097401784262,-3.973338873278012,-0.0446398228162382,0.24238794238717634,-0.2591820688749529,-3.9877260800194057,-0.0946592043746583
-0.12007506118274552,-3.988765024312578,0.04861032512887145,0.12099464707656059,-0.23541786101887247,-3.973342237943445,-0.04464032577517492,0.2423867428668045,-0.2591558472378745,-3.9877285695905913,-0.0946600849815353
-0.12007506118274586,-3.9887650243125763,0.048610325128871444,0.12099464707656005,-0.23541786101887302,-3.9733422379434455,-0.04464032577517501,0.24238674286680462,-0.2591878630814541,-3.987725529858724,-0.09466162245145361
-0.12007103489205473,-3.988762781111524,0.048610563918094145,0.12099297400806039,-0.23541340696406804,-3.9733402694357234,-0.04463993404952263,0.24238191819022165,-0.2591616415825034,-3.987728019480659,-0.094662494461975
-0.12007103489205406,-3.988762781111524,0.04861056391809416,0.1209929740080614,-0.23541340696406785,-3.973340269435724,-0.04463993404952291,0.2423819181902218,-0.2591936573078171,-3.9877249796823184,-0.0946640237327975
-0.12007103489205578,-3.9887627811115243,0.04861056391809419,0.12099297400805953,-0.23541340696406834,-3.973340269435722,-0.04463993404952267,0.24238191819022153,-0.2591674359516258,-3.9877274693541214,-0.094664887412254
