x,y,theta,mean_error,initial_x,initial_y,initial_theta,mean_error_initial,odom_x,odom_y,odom_theta
-0.08069187208126632,-4.001300451343169,0.05649392310782561,0.15903964980786994,-0.2591152882920883,-3.987732419811621,-0.0946427081665465,0.32302325102233875,-0.2591152882920883,-3.987732419811621,-0.0946427081665465
-0.08068764038253146,-4.001298004740562,0.056494185287273686,0.15903532588531472,-0.259147304380023,-3.987729380616852,-0.0946443110206815,0.32384645519913646,-0.259147304380023,-3.987729380616852,-0.0946443110206815
-0.08068764038253029,-4.0012980047405655,0.056494185287272944,0.1590353258853155,-0.2591210822486714,-3.987731869841677,-0.0946452495725636,0.32384645519913674,-0.2591210822486714,-3.987731869841677,-0.0946452495725636
-0.08068764038253151,-4.001298004740562,0.05649418528727351,0.15903532588531558,-0.2591530990899228,-3.987728830493458,-0.09464684222665819,0.32384645519913674,-0.2591530990899228,-3.987728830493458,-0.09464684222665819
-0.08068764038253001,-4.001298004740565,0.05649418528727325,0.15903532588531602,-0.2591268762018303,-3.987731319856954,-0.0946477702892084,0.32384645519913685,-0.2591268762018303,-3.987731319856954,-0.0946477702892084
-0.08068764038252879,-4.001298004740564,0.056494185287272784,0.1590353258853156,-0.2591588925061989,-3.987728280478433,-0.0946493529137431,0.32384645519913646,-0.2591588925061989,-3.987728280478433,-0.0946493529137431
-0.08069649059133088,-4.00130285425116,0.05649340610993211,0.15903142070450402,-0.2591326702935008,-3.9877307698441085,-0.0946502708365279,0.3238456627341878,-0.2591326702935008,-3.9877307698441085,-0.0946502708365279
-0.08069649059133133,-4.00130285425116,0.0564934061099323,0.15903142070450388,-0.2591646866688393,-3.9877277303782246,-0.09465184384878111,0.32384566273418786,-0.2591646866688393,-3.9877277303782246,-0.09465184384878111
-0.08112054624469694,-4.001382001119614,0.0564145868551742,0.1590282149758647,-0.2591384644379592,-3.987730219811403,-0.0946527519743049,0.32384803341490964,-0.2591384644379592,-3.987730219811403,-0.0946527519743049
-0.08112054624469667,-4.001382001119618,0.05641458685517452,0.15902821497586542,-0.2591704806016107,-3.9877271802856162,-0.09465431565185228,0.3238480334149092,-0.2591704806016107,-3.9877271802856162,-0.09465431565185228
-0.08112054624469828,-4.001382001119614,0.056414586855174295,0.15902821497586295,-0.2591442586575659,-3.987729669756838,-0.0946552143015743,0.323848033414909,-0.2591442586575659,-3.987729669756838,-0.0946552143015743
-0.08112936802287896,-4.001386771679836,0.05641381310025091,0.15902436475408754,-0.2591762747447195,-3.987726630158913,-0.09465676896483721,0.32384732223123763,-0.2591762747447195,-3.987726630158913,-0.09465676896483721
-0.08112936802287962,-4.001386771679833,0.056413813100250745,0.15902436475408735,-0.25915005292515,-3.987729119683106,-0.0946576584469418,0.3238473222312381,-0.25915005292515,-3.987729119683106,-0.0946576584469418
-0.08112936802288123,-4.001386771679836,0.056413813100251925,0.15902436475408552,-0.2591820688749529,-3.9877260800194057,-0.0946592043746583,0.323847322231238,-0.2591820688749529,-3.9877260800194057,-0.0946592043746583
-0.08113740269151914,-4.00139111365951,0.05641310901384638,0.15902086978512112,-0.2591558472378745,-3.9877285695905913,-0.0946600849815353,0.3238466476240338,-0.2591558472378745,-3.9877285695905913,-0.0946600849815353
-0.08113740269151798,-4.00139111365951,0.05641310901384568,0.159020869785122,-0.2591878630814541,-3.987725529858724,-0.09466162245145361,0.32384664762403387,-0.2591878630814541,-3.987725529858724,-0.09466162245145361
-0.08113338795370606,-4.00138883549968,0.056413351947732615,0.15901669548628405,-0.2591616415825034,-3.987728019480659,-0.094662494461975,0.3238427222693661,-0.2591616415825034,-3.987728019480659,-0.094662494461975
-0.08113338795370406,-4.001388835499676,0.05641335194773227,0.15901669548628497,-0.2591936573078171,-3.9877249796823184,-0.0946640237327975,0.32384272226936617,-0.2591936573078171,-3.9877249796823184,-0.0946640237327975
